time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-27 00:00:00+00:00,23,8,0,0
2026-01-28 00:00:00+00:00,18,7,0,0
2026-01-29 00:00:00+00:00,18,7,0,0
2026-01-30 00:00:00+00:00,17,5,0,0
2026-01-31 00:00:00+00:00,25,9,1,1
2026-02-01 00:00:00+00:00,22,10,0,0
2026-02-02 00:00:00+00:00,11,4,0,0
2026-02-03 00:00:00+00:00,16,5,0,0
2026-02-04 00:00:00+00:00,16,5,1,1
2026-02-05 00:00:00+00:00,21,10,1,1
2026-02-06 00:00:00+00:00,25,10,0,0
2026-02-07 00:00:00+00:00,14,9,0,0
2026-02-08 00:00:00+00:00,15,8,0,0
2026-02-09 00:00:00+00:00,19,8,1,1
